# Energy	Aggregated during	Calculated after	Total
0.7275	0.0037704884636181	3.68132698855598e-07	0.00377085659631695
0.73	0.00393431208522712	3.18692285241332e-07	0.00393463077751236
0.7325	0.00407637257430245	5.37004780701479e-08	0.00407642627478052
0.735	0.00420062529395971	1.96374596233006e-07	0.00420082166855594
0.7375	0.00430983269550591	1.46789833363113e-07	0.00430997948533927
0.74	0.00440470016737882	2.22851408372961e-07	0.0044049230187872
0.7425	0.00448355347170471	3.25114767216861e-07	0.00448387858647192
0.745	0.00454259995233965	2.12713899738726e-07	0.00454281266623939
0.7475	0.00457672092142688	6.20480226935367e-08	0.00457678296944957
0.75	0.00458059247684911	6.14705127944369e-08	0.0045806539473619
0.7525	0.00454984458562872	-9.26891323239769e-09	0.00454983531671549
0.755	0.00448200401840272	1.91897417482553e-07	0.0044821959158202
0.7575	0.00437702311966987	-1.21456576407122e-07	0.00437690166309346
0.76	0.00423727879982107	5.72563121874768e-08	0.00423733605613325
0.7625	0.00406706835987746	-2.31283643677303e-07	0.00406683707623379
0.765	0.00387180372435631	3.20671176146446e-07	0.00387212439553245
0.7675	0.00365709004835324	-2.70990761830406e-07	0.00365681905759141
0.77	0.0034278978295558	-8.67982408378658e-08	0.00342781103131497
0.7725	0.00318806992087345	3.19374506353709e-07	0.0031883892953798
0.775	0.00294021353524474	2.0815540607049e-07	0.00294042169065081
0.7775	0.00268598460271652	2.97289311904151e-07	0.00268628189202842
0.78	0.00242665189608236	6.71270642443368e-08	0.00242671902314661
0.7825	0.00216378160221893	1.73588845848445e-08	0.00216379896110351
0.785	0.00189984401876827	-1.52722966126221e-08	0.00189982874647166
0.7875	0.00163857600160004	1.63296111871216e-08	0.00163859233121122
0.79	0.00138506257300568	1.87207166217488e-08	0.0013850812937223
0.7925	0.00114543066837795	7.32106225809985e-08	0.00114550387900053
0.795	0.000926287235029018	6.24086894507107e-08	0.000926349643718468
0.7975	0.000733994712295877	1.3232375520947e-07	0.000734127036051087
0.8	0.000573945876249328	3.18694524599207e-07	0.000574264570773927
0.8025	0.00044993739871059	5.64111478341685e-07	0.000450501510188931
0.805	0.000363803205906299	-1.28128066879375e-08	0.000363790393099611
0.8075	0.000315309914606199	-2.3962698406818e-07	0.000315070287622131
0.81	0.000302340943035616	5.14538455544586e-07	0.000302855481491161
0.8125	0.000321293569234666	-1.52406737286628e-07	0.00032114116249738
0.815	0.000367625664490083	1.83421863391654e-07	0.000367809086353474
0.8175	0.000436412713286277	2.18571922189792e-07	0.000436631285208467
0.82	0.000522871614373833	2.46203335976294e-08	0.000522896234707431
0.8225	0.000622732799948048	-1.69254776941714e-07	0.000622563545171106
0.825	0.000732455322539618	5.7043922486935e-08	0.000732512366462105
0.8275	0.000849260503247199	-2.96545688512234e-09	0.000849257537790314
0.83	0.000971021711613436	3.55166974656734e-08	0.000971057228310901
0.8325	0.0010960476045508	1.79143618273597e-08	0.00109606551891262
0.835	0.0012228208974929	2.76947490133517e-08	0.00122284859224191
0.8375	0.00134974365567028	9.63762751090647e-08	0.00134984003194538
0.84	0.00147495174595276	-1.10957828965626e-09	0.00147495063637447
0.8425	0.00159621087346733	-1.04615326570239e-08	0.00159620041193467
0.845	0.00171092951024511	-3.29559951099815e-08	0.00171089655425
0.8475	0.00181627087098897	3.49146091756237e-08	0.00181630578559814
0.85	0.00190934797696344	2.27229899472033e-07	0.00190957520686291
0.8525	0.00198747288677278	2.20301135882304e-07	0.00198769318790866
0.855	0.00204840613604417	1.49564805590306e-07	0.00204855570084976
0.8575	0.00209057804145819	-3.48667757964338e-08	0.00209054317468239
0.86	0.00211323719721804	2.4046817820095e-07	0.00211347766539624
0.8625	0.00211650536891028	1.43552064794278e-07	0.00211664892097508
0.865	0.00210132538162211	5.44150043926246e-08	0.0021013797966265
0.8675	0.00206931311028227	-8.16683442618987e-09	0.00206930494344785
0.87	0.00202253211328112	-3.23703074672034e-09	0.00202252887625037
0.8725	0.0019632300120831	1.73347914952174e-08	0.0019632473468746
0.875	0.00189357311637445	6.64815966380203e-08	0.00189363959797109
0.8775	0.00181543064448148	-1.35619231553203e-07	0.00181529502524993
0.88	0.00173023010331103	1.10769103401952e-07	0.00173034087241444
0.8825	0.00163891312697009	-2.18604623345848e-07	0.00163869452234674
0.885	0.00154200212049161	-3.91974811762992e-08	0.00154196292301043
0.8875	0.0014397493108863	-1.15392888437501e-08	0.00143973777159746
0.89	0.00133234813062924	3.48425240247538e-07	0.00133269655586949
0.8925	0.0012201695042899	6.09538937282945e-08	0.00122023045818363
0.895	0.00110397195732919	3.05102787732741e-08	0.00110400246760797
0.8975	0.000985048973369266	6.1254545719414e-09	0.000985055098823838
0.9	0.000865283951231106	7.61921647435265e-08	0.00086536014339585
0.9025	0.000747096183767759	1.81440681819019e-07	0.000747277624449578
0.905	0.000633289602763598	-6.76902474096138e-08	0.000633221912516188
0.9075	0.000526817312677558	2.00520112190359e-07	0.000527017832789749
0.91	0.000430507240507887	1.07349957394596e-07	0.000430614590465282
0.9125	0.000346789172270249	-2.03305428311666e-08	0.000346768841727418
