# Energy	DeltaT=25	DeltaT=50	DeltaT=100	DeltaT=150	DeltaT=200	DeltaT=300	
0.4185	0.120218188905248	0.12022908613917	0.120229448851578	0.120229346917287	0.120229380224361	0.120229547568062
0.421	0.116128043598518	0.116138093269118	0.116138405968311	0.11613831950657	0.116138356806926	0.116138495987103
0.4235	0.110392421529449	0.110401695604911	0.110401965897658	0.110401893906967	0.110401934488367	0.110402046489094
0.426	0.103214385947364	0.103222955614631	0.103223188214427	0.103223129276969	0.103223172400359	0.103223259252594
0.4285	0.0948030417875784	0.0948109741255012	0.0948111725974377	0.0948111248899473	0.0948111698540536	0.0948112343993335
0.431	0.0854459449191884	0.0854532999939039	0.0854534676356236	0.0854534291082555	0.085453475296245	0.0854535209776725
0.4335	0.0755128468883461	0.0755196766554337	0.0755198164432256	0.0755197851278197	0.0755198320355565	0.075519862636928
0.436	0.0653654251832949	0.065371774232124	0.0653718888696487	0.06537186297844	0.0653719101760357	0.0653719296012539
0.4385	0.055342756764083	0.0553486629699758	0.0553487550245752	0.0553487329447204	0.0553487800345931	0.0553487921431927
0.441	0.0457640867315251	0.0457695809593564	0.0457696529936322	0.045769633300086	0.0457696799747057	0.0457696883446054
0.4435	0.036890005673955	0.0368951118837379	0.0368951666946885	0.036895148256069	0.0368951943956079	0.0368952020127583
0.446	0.0289440551932824	0.0289487908984939	0.0289488315940072	0.028948813600959	0.0289488592685418	0.0289488684737773
0.4485	0.022115792108947	0.0221201723461611	0.022120201698512	0.0221201836579586	0.022120228996433	0.0221202415584486
0.451	0.0165074697261514	0.0165115100737588	0.0165115302095103	0.0165115118983338	0.0165115571000056	0.0165115741504071
0.4535	0.012086208779814	0.0120899259707932	0.0120899384984298	0.0120899198368112	0.0120899651825913	0.0120899871314114
0.456	0.0087797509249105	0.00878316274941945	0.00878316886553274	0.00878314985737273	0.00878319567336178	0.00878322232738707
